iter	Passed	Remaining
235	599	1940
236	600	1932
237	601	1924
238	601	1916
239	602	1908
240	603	1901
241	605	1895
242	606	1887
243	606	1880
244	607	1872
245	608	1864
246	609	1856
247	609	1848
248	610	1841
249	611	1834
250	612	1826
251	613	1819
252	614	1813
253	615	1806
254	615	1799
255	617	1793
256	617	1786
257	618	1778
258	619	1772
259	620	1765
260	622	1762
261	623	1755
262	623	1748
263	626	1746
264	627	1739
265	627	1732
266	628	1725
267	631	1725
268	632	1718
269	638	1725
270	640	1722
271	640	1715
272	641	1709
273	643	1703
274	644	1698
275	644	1691
276	645	1685
277	646	1678
278	646	1671
279	648	1668
280	649	1661
281	650	1655
282	650	1649
283	651	1643
284	653	1639
285	654	1634
286	655	1628
287	659	1629
288	660	1624
289	660	1617
290	661	1612
291	662	1607
292	663	1601
293	671	1613
294	672	1607
295	673	1601
296	674	1595
297	680	1602
298	681	1598
299	683	1594
300	690	1602
301	690	1596
302	691	1591
303	692	1585
304	693	1579
305	693	1573
306	694	1567
307	695	1562
308	695	1556
309	696	1550
310	697	1545
311	698	1539
312	698	1534
313	699	1528
314	700	1522
315	700	1517
316	701	1511
317	702	1506
318	706	1509
319	707	1503
320	708	1498
321	709	1494
322	710	1488
323	711	1483
324	711	1478
325	712	1473
326	713	1468
327	714	1462
328	726	1482
329	727	1477
330	728	1472
331	731	1472
332	732	1467
333	733	1462
334	733	1456
335	735	1452
336	735	1447
337	736	1442
338	737	1437
339	737	1432
340	738	1427
341	739	1422
342	741	1420
343	742	1415
344	743	1410
345	745	1408
346	747	1406
347	748	1403
348	752	1403
349	753	1399
350	754	1394
351	764	1408
352	765	1403
353	767	1400
354	768	1396
355	769	1392
356	770	1387
357	771	1382
358	771	1378
359	773	1374
360	773	1369
361	774	1364
362	775	1360
363	775	1355
364	776	1350
365	777	1346
366	778	1342
367	780	1340
368	781	1335
369	781	1331
370	782	1327
371	783	1322
372	784	1318
373	784	1313
374	796	1328
375	797	1323
376	798	1319
377	819	1348
378	823	1349
379	824	1344
380	824	1339
381	832	1346
382	833	1342
383	833	1337
384	834	1333
385	835	1328
386	836	1324
387	837	1320
388	837	1315
389	846	1323
390	847	1319
391	858	1331
392	865	1336
393	865	1331
394	866	1327
395	869	1325
396	869	1321
397	870	1316
398	879	1324
399	880	1320
400	880	1315
401	888	1321
402	893	1323
403	894	1319
404	899	1321
405	901	1319
406	902	1315
407	903	1310
408	905	1308
409	906	1304
410	924	1325
411	926	1322
412	927	1317
413	927	1313
414	928	1308
415	929	1304
416	929	1300
417	938	1306
418	957	1328
419	958	1323
420	959	1319
421	959	1314
422	965	1316
423	969	1317
424	970	1313
425	971	1308
426	975	1309
427	976	1304
428	977	1300
429	1000	1326
430	1001	1321
431	1002	1317
432	1008	1320
433	1023	1334
434	1026	1333
435	1027	1329
436	1028	1325
437	1029	1320
438	1041	1331
439	1042	1326
440	1043	1322
441	1043	1317
442	1044	1313
443	1048	1312
444	1048	1308
445	1049	1304
446	1061	1313
447	1062	1309
448	1063	1304
449	1064	1300
450	1065	1296
451	1090	1322
